,name,MD,year_x,File,Years in office,year_y,Age at inauguration,State elected from,# of electoral votes, # of popular votes , National total votes ,Total electoral votes,Rating points,Political Party,Occupation,College,% electoral,% popular
173,John F. Kennedy, January 30,1961,1961_January_30.txt,3,1961.0,43.0,Massachusetts,303," 34,221,344 "," 68,828,960 ",537,704.0,Democrat,Author,Harvard,56.4,49.7
174,John F. Kennedy, January 11,1962,1962_January_11.txt,3,1961.0,43.0,Massachusetts,303," 34,221,344 "," 68,828,960 ",537,704.0,Democrat,Author,Harvard,56.4,49.7
175,John F. Kennedy, January 14,1963,1963_January_14.txt,3,1961.0,43.0,Massachusetts,303," 34,221,344 "," 68,828,960 ",537,704.0,Democrat,Author,Harvard,56.4,49.7
176,Lyndon B. Johnson, January 8,1964,1964_January_8.txt,5,1963.0,55.0,Texas,NA(),NA(),NA(),NA(),655.0,Democrat,Teacher,Southwest Texas State,NA(),NA()
177,Lyndon B. Johnson, January 4,1965,1965_January_4.txt,5,1963.0,55.0,Texas,NA(),NA(),NA(),NA(),655.0,Democrat,Teacher,Southwest Texas State,NA(),NA()
178,Lyndon B. Johnson, January 12,1966,1966_January_12.txt,5,1963.0,55.0,Texas,NA(),NA(),NA(),NA(),655.0,Democrat,Teacher,Southwest Texas State,NA(),NA()
179,Lyndon B. Johnson, January 10,1967,1967_January_10.txt,5,1963.0,55.0,Texas,NA(),NA(),NA(),NA(),655.0,Democrat,Teacher,Southwest Texas State,NA(),NA()
180,Lyndon B. Johnson, January 17,1968,1968_January_17.txt,5,1963.0,55.0,Texas,NA(),NA(),NA(),NA(),655.0,Democrat,Teacher,Southwest Texas State,NA(),NA()
181,Lyndon B. Johnson, January 14,1969,1969_January_14.txt,5,1963.0,55.0,Texas,NA(),NA(),NA(),NA(),655.0,Democrat,Teacher,Southwest Texas State,NA(),NA()
182,Richard Nixon, January 22,1970,1970_January_22.txt,,,,,,,,,,,,,,
183,Richard Nixon, January 22,1971,1971_January_22.txt,,,,,,,,,,,,,,
184,Richard Nixon, January 20,1972,1972_January_20.txt,,,,,,,,,,,,,,
185,Richard Nixon, February 2,1973,1973_February_2.txt,,,,,,,,,,,,,,
186,Richard Nixon, January 30,1974,1974_January_30.txt,,,,,,,,,,,,,,
187,Gerald R. Ford, January 15,1975,1975_January_15.txt,,,,,,,,,,,,,,
188,Gerald R. Ford, January 19,1976,1976_January_19.txt,,,,,,,,,,,,,,
189,Gerald R. Ford, January 12,1977,1977_January_12.txt,,,,,,,,,,,,,,
190,Jimmy Carter, January 19,1978,1978_January_19.txt,4,1977.0,52.0,Georgia,297," 40,830,763 "," 81,555,889 ",538,518.0,Democrat,Businessman,US Naval Academy,55.2,50.1
191,Jimmy Carter, January 25,1979,1979_January_25.txt,4,1977.0,52.0,Georgia,297," 40,830,763 "," 81,555,889 ",538,518.0,Democrat,Businessman,US Naval Academy,55.2,50.1
192,Jimmy Carter, January 21,1980,1980_January_21.txt,4,1977.0,52.0,Georgia,297," 40,830,763 "," 81,555,889 ",538,518.0,Democrat,Businessman,US Naval Academy,55.2,50.1
193,Jimmy Carter, January 16,1981,1981_January_16.txt,4,1977.0,52.0,Georgia,297," 40,830,763 "," 81,555,889 ",538,518.0,Democrat,Businessman,US Naval Academy,55.2,50.1
194,Ronald Reagan, January 26,1982,1982_January_26.txt,8,1981.0,69.0,California,489," 43,904,153 "," 86,515,221 ",538,634.0,Republican,Actor,Eureka College,90.9,50.7
195,Ronald Reagan, January 25,1983,1983_January_25.txt,8,1981.0,69.0,California,489," 43,904,153 "," 86,515,221 ",538,634.0,Republican,Actor,Eureka College,90.9,50.7
196,Ronald Reagan, January 25,1984,1984_January_25.txt,8,1981.0,69.0,California,489," 43,904,153 "," 86,515,221 ",538,634.0,Republican,Actor,Eureka College,90.9,50.7
197,Ronald Reagan, February 6,1985,1985_February_6.txt,8,1981.0,69.0,California,489," 43,904,153 "," 86,515,221 ",538,634.0,Republican,Actor,Eureka College,90.9,50.7
198,Ronald Reagan, February 4,1986,1986_February_4.txt,8,1981.0,69.0,California,489," 43,904,153 "," 86,515,221 ",538,634.0,Republican,Actor,Eureka College,90.9,50.7
199,Ronald Reagan, January 27,1987,1987_January_27.txt,8,1981.0,69.0,California,489," 43,904,153 "," 86,515,221 ",538,634.0,Republican,Actor,Eureka College,90.9,50.7
200,Ronald Reagan, January 25,1988,1988_January_25.txt,8,1981.0,69.0,California,489," 43,904,153 "," 86,515,221 ",538,634.0,Republican,Actor,Eureka College,90.9,50.7
201,George H.W. Bush, January 31,1990,1990_January_31.txt,,,,,,,,,,,,,,
202,George H.W. Bush, January 29,1991,1991_January_29.txt,,,,,,,,,,,,,,
203,George H.W. Bush, January 28,1992,1992_January_28.txt,,,,,,,,,,,,,,
204,William J. Clinton, January 25,1994,1994_January_25.txt,,,,,,,,,,,,,,
205,William J. Clinton, January 24,1995,1995_January_24.txt,,,,,,,,,,,,,,
206,William J. Clinton, January 23,1996,1996_January_23.txt,,,,,,,,,,,,,,
207,William J. Clinton, February 4,1997,1997_February_4.txt,,,,,,,,,,,,,,
208,William J. Clinton, January 27,1998,1998_January_27.txt,,,,,,,,,,,,,,
209,William J. Clinton, January 19,1999,1999_January_19.txt,,,,,,,,,,,,,,
210,William J. Clinton, January 27,2000,2000_January_27.txt,,,,,,,,,,,,,,
211,George W. Bush, February 27,2001,2001_February_27.txt,8,2001.0,54.0,Texas,271," 50,460,110 "," 105,417,258 ",538,,Republican,Businessman,Yale,50.4,47.9
212,George W. Bush, September 20,2001,2001_September_20.txt,8,2001.0,54.0,Texas,271," 50,460,110 "," 105,417,258 ",538,,Republican,Businessman,Yale,50.4,47.9
213,George W. Bush, January 29,2002,2002_January_29.txt,8,2001.0,54.0,Texas,271," 50,460,110 "," 105,417,258 ",538,,Republican,Businessman,Yale,50.4,47.9
214,George W. Bush, January 28,2003,2003_January_28.txt,8,2001.0,54.0,Texas,271," 50,460,110 "," 105,417,258 ",538,,Republican,Businessman,Yale,50.4,47.9
215,George W. Bush, January 20,2004,2004_January_20.txt,8,2001.0,54.0,Texas,271," 50,460,110 "," 105,417,258 ",538,,Republican,Businessman,Yale,50.4,47.9
216,George W. Bush, February 2,2005,2005_February_2.txt,8,2001.0,54.0,Texas,271," 50,460,110 "," 105,417,258 ",538,,Republican,Businessman,Yale,50.4,47.9
217,George W. Bush, January 31,2006,2006_January_31.txt,8,2001.0,54.0,Texas,271," 50,460,110 "," 105,417,258 ",538,,Republican,Businessman,Yale,50.4,47.9
218,George W. Bush, January 23,2007,2007_January_23.txt,8,2001.0,54.0,Texas,271," 50,460,110 "," 105,417,258 ",538,,Republican,Businessman,Yale,50.4,47.9
219,George W. Bush, January 28,2008,2008_January_28.txt,8,2001.0,54.0,Texas,271," 50,460,110 "," 105,417,258 ",538,,Republican,Businessman,Yale,50.4,47.9
220,Barack Obama, February 24,2009,2009_February_24.txt,n/a,2009.0,47.0,Illinois,365," 69,492,376 "," 129,438,754 ",538,,Democrat,Lawyer,Columbia University,67.8,53.7
221,Barack Obama, January 27,2010,2010_January_27.txt,n/a,2009.0,47.0,Illinois,365," 69,492,376 "," 129,438,754 ",538,,Democrat,Lawyer,Columbia University,67.8,53.7
222,Barack Obama, January 25,2011,2011_January_25.txt,n/a,2009.0,47.0,Illinois,365," 69,492,376 "," 129,438,754 ",538,,Democrat,Lawyer,Columbia University,67.8,53.7
223,Barack Obama, January 24,2012,2012_January_24.txt,n/a,2009.0,47.0,Illinois,365," 69,492,376 "," 129,438,754 ",538,,Democrat,Lawyer,Columbia University,67.8,53.7
224,Barack Obama, February 12,2013,2013_February_12.txt,n/a,2009.0,47.0,Illinois,365," 69,492,376 "," 129,438,754 ",538,,Democrat,Lawyer,Columbia University,67.8,53.7
225,Barack Obama, January 28,2014,2014_January_28.txt,n/a,2009.0,47.0,Illinois,365," 69,492,376 "," 129,438,754 ",538,,Democrat,Lawyer,Columbia University,67.8,53.7
226,Barack Obama, January 20,2015,2015_January_20.txt,n/a,2009.0,47.0,Illinois,365," 69,492,376 "," 129,438,754 ",538,,Democrat,Lawyer,Columbia University,67.8,53.7
227,Barack Obama, January 12,2016,2016_January_12.txt,n/a,2009.0,47.0,Illinois,365," 69,492,376 "," 129,438,754 ",538,,Democrat,Lawyer,Columbia University,67.8,53.7
